No.,ID_Setting,Setting_Name,Setting_Type,Setting_Value
0,D2116,S8_OFF_SET_TR1,i,0
1,D2124,S8_MINIMUM_HEIGHT_VALUE_TR1,i,1
2,D2128,S8_MAXIMUM_HEIGHT_VALUE_TR1,i,6
3,D3116,S8_OFF_SET_TR2,i,0
4,D3124,S8_MINIMUM_HEIGHT_VALUE_TR2,i,1
5,D3128,S8_MAXIMUM_HEIGHT_TR2,i,6
6,D5116,S8_OFF_SET_TR3,i,0
7,D5124,S8_MINIMUM_HEIGHT_VALUE_TR3,i,1
8,D5128,S8_MAXIMUM_HEIGHT_VALUE_TR3,i,6
